Product_Name,Price,Discount,Rating,Reviews,Brand,Capacity,Material,Product_URL
"Qtrix Pack of 8 Plastic Grocery Container - 500 ml, 1100 ml Black",300,69,4.4,104,Qtrix,"500 ml, 1100 ml, 1500 ml",Plastic,https://www.shopsy.in/qtrix-pack-8-plastic-grocery-container-500-ml-1100-ml-black/p/itmc5448d2e86816?pid=XCCHCJMF6THNGQVZ&lid=LSTXCCHCJMF6THNGQVZ18FSDV&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"AneriDEALS Pack of 24 Plastic Grocery Container - 250 ml, 350 ml, 650 ml, 1200 ml Silver, Multicolor",423,78,4.1,34,AneriDEALS,"250 ml, 350 ml, 650 ml, 1200 ml, 1000 ml",Plastic,https://www.shopsy.in/anerideals-pack-24-plastic-grocery-container-250-ml-350-650-1200-ml-silver-multicolor/p/itm09ad15658a722?pid=XCCGT8EQQW7HS2PY&lid=LSTXCCGT8EQQW7HS2PYLSFTHN&marketplace=FLIPKART&store=upp%2F5ix%2F01e
BELIZZI Pack of 6 Plastic Fridge Container - 1500 ml White,257,74,4.1,272,BELIZZI,"1500 ml, 500 ml, 1000 ml",Plastic,https://www.shopsy.in/belizzi-pack-6-plastic-fridge-container-1500-ml-white/p/itmf984e1724ca65?pid=XCCH2YY8GU224NA9&lid=LSTXCCH2YY8GU224NA97ILXHT&marketplace=FLIPKART&store=upp%2F5ix%2F01e
SHAN Pack of 2 Ceramic Pickle Jar - 500 ml Green,345,50,4.3,,SHAN,500 ml,Ceramic,https://www.shopsy.in/shan-pack-2-ceramic-pickle-jar-500-ml-green/p/itm10715a56ea0e4?pid=XCCHJD7H8BGRW5RZ&lid=LSTXCCHJD7H8BGRW5RZSBDRFZ&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"RK Pack of 5 Steel Cookie Jar - 300 ml, 500 ml, 750 ml, 1150 ml, 1650 ml Silver",383,76,4.1,83,RK,"300 ml, 500 ml, 750 ml, 1150 ml, 1650 ml, 375 ml, 625 ml, 1000 ml, 1375 ml, 250 ml",Steel,https://www.shopsy.in/rk-pack-5-steel-cookie-jar-300-ml-500-750-1150-1650-ml-silver/p/itmfb61efa9d0165?pid=XCCHGS79PYA6U4SA&lid=LSTXCCHGS79PYA6U4SAI8NNVF&marketplace=FLIPKART&store=upp%2F5ix%2F01e
VR Pack of 3 Plastic Grocery Container - 4500 ml Multicolor,247,75,4.1,210,VR,"4500 ml, 250 ml",Plastic,https://www.shopsy.in/vr-pack-3-plastic-grocery-container-4500-ml-multicolor/p/itm021016cd8b70a?pid=XCCGSWFGAEYW9SNF&lid=LSTXCCGSWFGAEYW9SNFVXMNQT&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Loknath Pack of 12 Plastic Utility Container - 2000 ml Blue,567,43,4.1,3,Loknath,"2000 ml, 1350 ml, 4000 ml","Plastic, Steel",https://www.shopsy.in/loknath-pack-12-plastic-utility-container-2000-ml-blue/p/itm5d2f280841402?pid=XCCGHBWJYAUYFTZQ&lid=LSTXCCGHBWJYAUYFTZQBQQ3KX&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"Hoatzin Pack of 6 Plastic Grocery Container - 12000 ml, 8000 ml, 6000 ml, 3000 ml, 2000 ml, 1000 ml Pink",497,50,4.3,7,Hoatzin,"12000 ml, 8000 ml, 6000 ml, 3000 ml, 2000 ml, 1000 ml",Plastic,https://www.shopsy.in/hoatzin-pack-6-plastic-grocery-container-12000-ml-8000-6000-3000-2000-1000-ml-pink/p/itm54c7f33e7189b?pid=XCCHF2HV4YGKZXZS&lid=LSTXCCHF2HV4YGKZXZSJO2QYK&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"Veksin Pack of 6 Plastic Grocery Container - 1000 ml, 2000 ml, 3000 ml, 6000 ml, 8000 ml, 12000 ml Brown",497,64,4.3,23,Veksin,"1000 ml, 2000 ml, 3000 ml, 6000 ml, 8000 ml, 12000 ml",Plastic,https://www.shopsy.in/veksin-pack-6-plastic-grocery-container-1000-ml-2000-3000-6000-8000-12000-ml-brown/p/itm441ed583574aa?pid=XCCGHXRTHNDGRRCT&lid=LSTXCCGHXRTHNDGRRCTECPRGX&marketplace=FLIPKART&store=upp%2F5ix%2F01e
TASTIC Pack of 1 Plastic Grocery Container - 1800 ml Black,125,74,3.5,0,TASTIC,1800 ml,Plastic,https://www.shopsy.in/tastic-pack-1-plastic-grocery-container-1800-ml-black/p/itm066445a3b31df?pid=XCCGZ5U4VGUZAEG2&lid=LSTXCCGZ5U4VGUZAEG26Q04SI&marketplace=FLIPKART&store=upp%2F5ix%2F01e
