Product_Name,Price,Discount,Rating,Reviews,Brand,Capacity,Material,Product_URL
VASOYA Pack of 1 Plastic Fridge Container - 2700 ml White,161,86,4.0,25,VASOYA,"2700 ml, 1500 ml, 500 ml",Plastic,https://www.shopsy.in/vasoya-pack-1-plastic-fridge-container-2700-ml-white/p/itm48a3015a8ca45?pid=XCCGYFPAR6YJYT5A&lid=LSTXCCGYFPAR6YJYT5ACRLUWR&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"AneriDEALS Pack of 24 Plastic Grocery Container - 250 ml, 350 ml, 650 ml, 1200 ml Silver, Multicolor",423,78,4.1,34,AneriDEALS,"250 ml, 350 ml, 650 ml, 1200 ml, 1000 ml",Plastic,https://www.shopsy.in/anerideals-pack-24-plastic-grocery-container-250-ml-350-650-1200-ml-silver-multicolor/p/itm09ad15658a722?pid=XCCGT8EQQW7HS2PY&lid=LSTXCCGT8EQQW7HS2PYLSFTHN&marketplace=FLIPKART&store=upp%2F5ix%2F01e
BELIZZI Pack of 6 Plastic Fridge Container - 1500 ml White,257,74,4.1,272,BELIZZI,"1500 ml, 500 ml, 1000 ml",Plastic,https://www.shopsy.in/belizzi-pack-6-plastic-fridge-container-1500-ml-white/p/itmf984e1724ca65?pid=XCCH2YY8GU224NA9&lid=LSTXCCH2YY8GU224NA97ILXHT&marketplace=FLIPKART&store=upp%2F5ix%2F01e
KIKANII Pack of 12 Plastic Grocery Container - 500 ml Black,351,64,3.4,,KIKANII,500 ml,Plastic,https://www.shopsy.in/kikanii-pack-12-plastic-grocery-container-500-ml-black/p/itm334f3ff8362bd?pid=XCCHKKS7CQTMWPCX&lid=LSTXCCHKKS7CQTMWPCXGI4O9P&marketplace=FLIPKART&store=upp%2F5ix%2F01e
COSY HOME MAKE IT EASY Pack of 1 Plastic Egg Container - 2 dozen White,158,80,3.8,12,COSY HOME MAKE IT EASY,,"Plastic, Silicone, Wood",https://www.shopsy.in/cosy-home-make-easy-pack-1-plastic-egg-container-2-dozen-white/p/itm80fb03dbff822?pid=XCCH7BUWSGMYZSPG&lid=LSTXCCH7BUWSGMYZSPGW1USMT&marketplace=FLIPKART&store=upp%2F5ix%2F01e
VR Pack of 3 Plastic Grocery Container - 4500 ml Multicolor,247,75,4.1,210,VR,"4500 ml, 250 ml",Plastic,https://www.shopsy.in/vr-pack-3-plastic-grocery-container-4500-ml-multicolor/p/itm021016cd8b70a?pid=XCCGSWFGAEYW9SNF&lid=LSTXCCGSWFGAEYW9SNFVXMNQT&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"Veksin Pack of 6 Plastic Grocery Container - 1000 ml, 2000 ml, 3000 ml, 6000 ml, 8000 ml, 12000 ml Pink",473,66,4.3,23,Veksin,"1000 ml, 2000 ml, 3000 ml, 6000 ml, 8000 ml, 12000 ml",Plastic,https://www.shopsy.in/veksin-pack-6-plastic-grocery-container-1000-ml-2000-3000-6000-8000-12000-ml-pink/p/itm527e6385faf69?pid=XCCGHXRTVM9JKZUV&lid=LSTXCCGHXRTVM9JKZUVHWYL2H&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Panel's Pack of 6 Glass Grocery Container - 300 ml Clear,330,66,4.5,27,Panel's,"300 ml, 300ml","Stainless Steel, Glass, Steel",https://www.shopsy.in/panel-s-pack-6-glass-grocery-container-300-ml-clear/p/itm0aefb1d442a1d?pid=XCCHY3UXZGTFBZ47&lid=LSTXCCHY3UXZGTFBZ47LPWYBY&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"gptrade Pack of 3 Steel Tea Coffee & Sugar Container - 500 ml, 300 ml, 200 ml Silver",267,66,4.0,9,gptrade,"500 ml, 300 ml, 200 ml","Stainless Steel, Steel",https://www.shopsy.in/gptrade-pack-3-steel-tea-coffee-sugar-container-500-ml-300-200-ml-silver/p/itme7a1f5dfa1414?pid=XCCHFZJTGCPHDJUH&lid=LSTXCCHFZJTGCPHDJUH1QVLK1&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Finner Pack of 8 Plastic Grocery Container - 100 ml Black,198,66,3.7,1,Finner,100 ml,Plastic,https://www.shopsy.in/finner-pack-8-plastic-grocery-container-100-ml-black/p/itmef343439a9f05?pid=XCCHKUGZWRDNHKZE&lid=LSTXCCHKUGZWRDNHKZE1NF1OD&marketplace=FLIPKART&store=upp%2F5ix%2F01e&spotlightTagId=default_TrendingId_upp%2F5ix%2F01e
"VR Pack of 6 Plastic Fridge Container - 1200 ml Grey, Clear",273,72,4.2,3,VR,1200 ml,Plastic,https://www.shopsy.in/vr-pack-6-plastic-fridge-container-1200-ml-grey-clear/p/itm5c3306e34f18a?pid=XCCHHSE3RYATU78Q&lid=LSTXCCHHSE3RYATU78QXGKZ1O&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"RK Pack of 5 Steel Utility Container - 200 ml, 350 ml, 600 ml, 850 ml, 1150 ml Silver",310,65,4.1,2,RK,"200 ml, 350 ml, 600 ml, 850 ml, 1150 ml, 160 ml, 300 ml, 500 ml, 1000 ml",Steel,https://www.shopsy.in/rk-pack-5-steel-utility-container-200-ml-350-600-850-1150-ml-silver/p/itmfcbb9c21cf721?pid=XCCHGS78PC5PMQRU&lid=LSTXCCHGS78PC5PMQRUXKQEDB&marketplace=FLIPKART&store=upp%2F5ix%2F01e
koktailkitchan Pack of 12 Plastic Grocery Container - 500 ml Black,322,46,4.1,311,koktailkitchan,"500 ml, 1100 ml, 1000 ml",Plastic,https://www.shopsy.in/koktailkitchan-pack-12-plastic-grocery-container-500-ml-black/p/itm1c9f68a904566?pid=XCCH9Y4QNAP4Q8M2&lid=LSTXCCH9Y4QNAP4Q8M20KZ2M6&marketplace=FLIPKART&store=upp%2F5ix%2F01e&spotlightTagId=default_BestsellerId_upp%2F5ix%2F01e
b7 creations Pack of 1 Ceramic Pickle Jar - 1000 ml Brown,225,62,4.1,,b7 creations,"1000 ml, 1000ml",Ceramic,https://www.shopsy.in/b7-creations-pack-1-ceramic-pickle-jar-1000-ml-brown/p/itm5e73758253a1e?pid=XCCHJBYCBSGHBHD5&lid=LSTXCCHJBYCBSGHBHD5JHFH2O&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"SEQUENCE Pack of 12 Plastic Grocery Container - 1100 ml, 500 ml Black",320,75,4.3,8,SEQUENCE,"1100 ml, 500 ml, 1000ml","Plastic, Silicone",https://www.shopsy.in/sequence-pack-12-plastic-grocery-container-1100-ml-500-ml-black/p/itmed5766820bb97?pid=XCCHGHYHA8QKHJGS&lid=LSTXCCHGHYHA8QKHJGSKLCP2E&marketplace=FLIPKART&store=upp%2F5ix%2F01e
INNOVIX Pack of 2 Plastic Cereal Dispenser - 2500 ml Green,283,71,4.2,4,INNOVIX,2500 ml,Plastic,https://www.shopsy.in/innovix-pack-2-plastic-cereal-dispenser-2500-ml-green/p/itm83e0431249cd6?pid=XCCGQAZ5W67MRU6B&lid=LSTXCCGQAZ5W67MRU6BEJ3EP3&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Flatkitch Pack of 6 Plastic Grocery Container - 1100 ml Black,241,65,4.4,1,Flatkitch,"1100 ml, 1100ML",Plastic,https://www.shopsy.in/flatkitch-pack-6-plastic-grocery-container-1100-ml-black/p/itm6195d5dad9649?pid=XCCHNDSYK6EX33BH&lid=LSTXCCHNDSYK6EX33BHJMEXD3&marketplace=FLIPKART&store=upp%2F5ix%2F01e
"Qtrix Pack of 8 Plastic Grocery Container - 500 ml, 1100 ml Black",300,69,4.4,104,Qtrix,"500 ml, 1100 ml, 1500 ml",Plastic,https://www.shopsy.in/qtrix-pack-8-plastic-grocery-container-500-ml-1100-ml-black/p/itmc5448d2e86816?pid=XCCHCJMF6THNGQVZ&lid=LSTXCCHCJMF6THNGQVZ18FSDV&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Masox Store Pack of 4 Plastic Utility Container - 2000 ml Clear,358,72,3.5,,Masox Store,2000 ml,Plastic,https://www.shopsy.in/masox-store-pack-4-plastic-utility-container-2000-ml-clear/p/itm0e0d5216389bc?pid=XCCHKHNMF4XHKESJ&lid=LSTXCCHKHNMF4XHKESJJVMOEP&marketplace=FLIPKART&store=upp%2F5ix%2F01e
MOOZICO Pack of 6 Glass Cookie Jar - 270 ml Clear,482,51,4.1,4,MOOZICO,"270 ml, 320 ml","Glass, Silicone, Wood",https://www.shopsy.in/moozico-pack-6-glass-cookie-jar-270-ml-clear/p/itm609c6aa0d1db7?pid=XCCGHASFGJYKY2QB&lid=LSTXCCGHASFGJYKY2QB4QIAEF&marketplace=FLIPKART&store=upp%2F5ix%2F01e
OMORTEX Pack of 6 Plastic Tea Coffee & Sugar Container - 1000 ml Clear,170,71,4.2,24,OMORTEX,1000 ml,Plastic,https://www.shopsy.in/omortex-pack-6-plastic-tea-coffee-sugar-container-1000-ml-clear/p/itm2613c29fadda7?pid=XCCGYG9TQFS6AVKZ&lid=LSTXCCGYG9TQFS6AVKZDEEUNI&marketplace=FLIPKART&store=upp%2F5ix%2F01e
VR Pack of 4 Plastic Fridge Container - 2500 ml Clear,292,70,4.1,70,VR,2500 ml,"Stainless Steel, Plastic, Steel",https://www.shopsy.in/vr-pack-4-plastic-fridge-container-2500-ml-clear/p/itmd4029592b80e2?pid=XCCGV3TNYUWZXKCV&lid=LSTXCCGV3TNYUWZXKCVECR6GD&marketplace=FLIPKART&store=upp%2F5ix%2F01e
DharmikEn Pack of 4 Plastic Fridge Container - 1500 ml White,222,62,4.2,29,DharmikEn,"1500 ml, 1500ML","Stainless Steel, Plastic, Steel",https://www.shopsy.in/dharmiken-pack-4-plastic-fridge-container-1500-ml-white/p/itm3b719bc7dab2a?pid=XCCGENRW8UHKWYTF&lid=LSTXCCGENRW8UHKWYTFPNAGKE&marketplace=FLIPKART&store=upp%2F5ix%2F01e
Analog Kichenware Pack of 1 Plastic Pickle Jar - 500 ml Pink,226,77,3.9,11,Analog Kichenware,500 ml,"Stainless Steel, Plastic, Steel",https://www.shopsy.in/analog-kichenware-pack-1-plastic-pickle-jar-500-ml-pink/p/itme7d0f0b5ff290?pid=XCCGUDE68YH3BXPZ&lid=LSTXCCGUDE68YH3BXPZOID5IX&marketplace=FLIPKART&store=upp%2F5ix%2F01e
